X1,X2,Class
3.3,15.45,
3.9,21.85,
4.6,18.25,
5.2,23.4,
7.05,19.9,
9.75,25.5,
11.65,26.85,
12.75,22.05,
14.05,26.55,
14.15,17.35,
14.2,22.15,
15.2,11.7,
15.95,16.45,
16.05,11.9,
16.5,15.15,
16.95,9.7,
17.1,14,
17.25,13.15,
17.3,14.9,
17.55,8.1,
17.55,25.2,
18.05,11.9,
18.25,20.2,
18.4,10.05,
18.65,6.9,
19.05,8.85,
19.95,8.3,
20.1,21.6,
20.45,5.15,
20.95,18.25,
21.3,22.3,
21.4,8.8,
21.4,25.85,
21.85,8.5,
22.15,5.05,
22.4,16.5,
22.6,6.7,
22.95,4.75,
23.2,5.3,
23.45,3.6,
24.55,4,
25.15,19.8,
25.2,6.55,
25.6,3.9,
26.6,4.9,
26.85,2.95,
27.15,5.95,
27.65,15.65,
28.8,4.05,
29.15,4.4,
29.45,4.05,
30,6.55,
30.65,5.85,
30.75,4.45,
32.35,6.1,
32.5,7.95,
32.7,4.6,
33.35,5.65,
34.65,6.25,
34.7,7.2,
35.5,8.05,
35.75,10,
35.95,7.9,
36.4,10.15,
36.8,12.2,
37.85,14.5,
38.3,16.5,
38.35,10.5,
38.6,11.75,
39.3,14.2,
39.55,12.3,
39.9,17.05,
40.45,16.3,
40.55,13.15,
41.3,15.3,
